,Unnamed: 0,Filename,Pixels,Kernel,Type,Time
108,108,input/coffee.jpg,10458976,13,Cuda,0.001106
109,109,input/coffee.jpg,10458976,13,Linear,22.513989
110,110,input/coffee.jpg,10458976,15,Cuda,0.001429
111,111,input/coffee.jpg,10458976,15,Linear,29.91102
112,112,input/dog.jpg,23295251,3,Cuda,0.000243
113,113,input/dog.jpg,23295251,3,Linear,3.179459
114,114,input/dog.jpg,23295251,5,Cuda,0.000508
115,115,input/dog.jpg,23295251,5,Linear,7.682108
116,116,input/dog.jpg,23295251,7,Cuda,0.000844
117,117,input/dog.jpg,23295251,7,Linear,14.679825
118,118,input/dog.jpg,23295251,9,Cuda,0.001274
119,119,input/dog.jpg,23295251,9,Linear,24.033675
120,120,input/dog.jpg,23295251,11,Cuda,0.001811
121,121,input/dog.jpg,23295251,11,Linear,36.026711
122,122,input/dog.jpg,23295251,13,Cuda,0.00243
123,123,input/dog.jpg,23295251,13,Linear,50.170678
124,124,input/dog.jpg,23295251,15,Cuda,0.003158
125,125,input/dog.jpg,23295251,15,Linear,66.669834
126,126,input/flowers.jpg,10668000,3,Cuda,0.000137
127,127,input/flowers.jpg,10668000,3,Linear,1.459232
128,128,input/flowers.jpg,10668000,5,Cuda,0.000251
129,129,input/flowers.jpg,10668000,5,Linear,3.518581
130,130,input/flowers.jpg,10668000,7,Cuda,0.000408
131,131,input/flowers.jpg,10668000,7,Linear,6.7254
132,132,input/flowers.jpg,10668000,9,Cuda,0.000598
133,133,input/flowers.jpg,10668000,9,Linear,11.000592
134,134,input/flowers.jpg,10668000,11,Cuda,0.000844
135,135,input/flowers.jpg,10668000,11,Linear,16.491779
136,136,input/flowers.jpg,10668000,13,Cuda,0.001128
137,137,input/flowers.jpg,10668000,13,Linear,22.964751
138,138,input/flowers.jpg,10668000,15,Cuda,0.001457
139,139,input/flowers.jpg,10668000,15,Linear,30.509058
140,140,input/forest(vertical).jpg,785350,3,Cuda,3.5e-05
141,141,input/forest(vertical).jpg,785350,3,Linear,0.107749
142,142,input/forest(vertical).jpg,785350,5,Cuda,3.5e-05
143,143,input/forest(vertical).jpg,785350,5,Linear,0.258478
144,144,input/forest(vertical).jpg,785350,7,Cuda,4.6e-05
145,145,input/forest(vertical).jpg,785350,7,Linear,0.492606
146,146,input/forest(vertical).jpg,785350,9,Cuda,6.3e-05
147,147,input/forest(vertical).jpg,785350,9,Linear,0.806931
148,148,input/forest(vertical).jpg,785350,11,Cuda,8.1e-05
149,149,input/forest(vertical).jpg,785350,11,Linear,1.208408
150,150,input/forest(vertical).jpg,785350,13,Cuda,0.000104
151,151,input/forest(vertical).jpg,785350,13,Linear,1.68156
152,152,input/forest(vertical).jpg,785350,15,Cuda,0.00013
153,153,input/forest(vertical).jpg,785350,15,Linear,2.23169
