,Filename,Pixels,Kernel,Type,Time
115,input/dog.jpg,23295251,5,Linear,7.674982
116,input/dog.jpg,23295251,7,Cuda,0.000123
117,input/dog.jpg,23295251,7,Linear,14.675369
118,input/dog.jpg,23295251,9,Cuda,0.000114
119,input/dog.jpg,23295251,9,Linear,24.038404
120,input/dog.jpg,23295251,11,Cuda,0.000113
121,input/dog.jpg,23295251,11,Linear,36.786802
122,input/dog.jpg,23295251,13,Cuda,0.000126
123,input/dog.jpg,23295251,13,Linear,54.423275
124,input/dog.jpg,23295251,15,Cuda,0.000122
125,input/dog.jpg,23295251,15,Linear,66.684756
126,input/flowers.jpg,10668000,3,Cuda,7.4e-05
127,input/flowers.jpg,10668000,3,Linear,1.478596
128,input/flowers.jpg,10668000,5,Cuda,6.2e-05
129,input/flowers.jpg,10668000,5,Linear,3.5332
130,input/flowers.jpg,10668000,7,Cuda,6.3e-05
131,input/flowers.jpg,10668000,7,Linear,7.645092
132,input/flowers.jpg,10668000,9,Cuda,6.4e-05
133,input/flowers.jpg,10668000,9,Linear,12.521894
134,input/flowers.jpg,10668000,11,Cuda,7.3e-05
135,input/flowers.jpg,10668000,11,Linear,18.298225
136,input/flowers.jpg,10668000,13,Cuda,6.3e-05
137,input/flowers.jpg,10668000,13,Linear,23.805854
138,input/flowers.jpg,10668000,15,Cuda,7e-05
139,input/flowers.jpg,10668000,15,Linear,30.522737
140,input/forest(vertical).jpg,785350,3,Cuda,2.2e-05
141,input/forest(vertical).jpg,785350,3,Linear,0.107081
142,input/forest(vertical).jpg,785350,5,Cuda,2.5e-05
143,input/forest(vertical).jpg,785350,5,Linear,0.258235
144,input/forest(vertical).jpg,785350,7,Cuda,2.1e-05
145,input/forest(vertical).jpg,785350,7,Linear,0.493566
146,input/forest(vertical).jpg,785350,9,Cuda,2.1e-05
147,input/forest(vertical).jpg,785350,9,Linear,0.806942
148,input/forest(vertical).jpg,785350,11,Cuda,2e-05
149,input/forest(vertical).jpg,785350,11,Linear,1.20904
150,input/forest(vertical).jpg,785350,13,Cuda,2e-05
151,input/forest(vertical).jpg,785350,13,Linear,1.681404
152,input/forest(vertical).jpg,785350,15,Cuda,2e-05
153,input/forest(vertical).jpg,785350,15,Linear,2.232115
